Serial,M1,M2,M3,M4,M5,M6,S2,D1,D2,D3,D4,D4A.1,D4B.1,D4C.1,D4D.1,D4D1.1,D4E.1,D4A.2,D4B.2,D4C.2,D4D.2,D4D1.2,D4E.2,D4A.3,D4B.3,D4C.3,D4D.3,D4D1.3,D4E.3,D4A.4,D4B.4,D4C.4,D4D.4,D4D1.4,D4E.4,D4A.5,D4B.5,D4C.5,D4D.5,D4D1.5,D4E.5,D4A.6,D4B.6,D4C.6,D4D.6,D4D1.6,D4E.6,D4A.7,D4B.7,D4C.7,D4D.7,D4D1.7,D4E.7,D4A.8,D4B.8,D4C.8,D4D.8,D4D1.8,D4E.8,D4A.9,D4B.9,D4C.9,D4D.9,D4D1.9,D4E.9,D4F.1,D4F.2.1,D4F.2.2,D4F.2.3,D4F.2.4,D4F.2.5,D4F.2.6,D4F.2.7,D4F.2.8,D4F.2.9,D4F.2.10,D4F.2.11,D4F.2.12,D4F.2.13,D4F.2.14,D4F.2.15,D4F.2.16,D4F.2.97,D4G.1,D4G.2.1,D4G.2.2,D4G.2.3,D4G.2.4,D4G.2.5,D4G.2.6,D4G.2.7,D4G.2.8,D4G.2.9,D4G.2.10,D4G.2.11,D4G.2.12,D4G.2.13,D4G.2.14,D4G.2.15,D4G.2.16,D4G.2.17,D4G.2.18,D4G.2.97,D4H,D4I,D4J,D4J.2.1,D4J.2.2,D4J.2.3,D4J.2.4,D4J.2.5,D4J.2.6,D4J.2.7,D4J.2.8,D4J.2.9,D4J.2.10,D4J.2.97,D5,D6,D7,D8,D9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11,Q13.12,Q13.13,Q13.97,Q14,Q15A,Q15B,Q15C,Q15D,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24A,Q24B,Q24C,Q24D,Q24E,Q24F,Q24G,Q24H,Q24I,Q24J,Q24K,Q24L,Q24M,Q24N,Q24O,Q24P,Q24T,Q25,QN1,QN2,QN3,QN4,QN5,QN6,QN7,QN8,QN9,QN10,QN11
11,1,16513C00366,796359770,2,0,0,3,2,37,5,3,1,10,1,1,1,2,1,13,1,1,1,1,1,7,2,0,0,1,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3 5 9,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1 5,1,5,1,5,1,1,1,1,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,3,2,0,2,0,2 8,1 2 3 6 12,2,3,U,U,U,U,U,U,U,U,U,1,U,U,U,U,U,11 13 14 18 19,0,0,0,0,0,0,0,0,0,0,0
12,1,16513c24674,795049735,3,0,1,3,2,43,2,1,1,13,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,4 7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1 2,1,5,1,5,1,1,1,1,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,3,2,0,2,0,2 8,1 2 3 9 12,2,U,1,U,U,U,U,U,U,U,U,3,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
13,1,16513c18154,790582230,1,0,1,3,1,42,8,6,1,5,2,0,0,2,2,6,1,1,1,2,1,10,1,1,1,2,1,12,1,1,1,2,1,13,1,1,1,2,2,15,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 13,2,1,U,U,U,U,U,U,U,U,U,U,3,U,3 9 10,60,U,10,10,3,1,1,1 2 3 4 8,1,9 13 15,0,1 2 3 9 12,U,1,U,U,U,U,U,U,2,U,U,3,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
14,1,19912c01015,796051367,2,0,0,4,1,32,5,3,2,0.3,2,0,0,2,2,3,2,0,0,2,2,6,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,97,1,3,1,5,1,1,2,1,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,3,2,0,1,2,0,2 3 15,U,1,2,U,U,U,U,U,U,U,U,U,U,U,3,U,U,99,0,0,0,0,0,0,0,0,0,0,0
16,1,19912c08719,799177521,1,0,0,9,1,43,7,5,1,6,2,0,0,2,2,8,1,1,1,2,1,11,1,1,1,2,2,13,1,1,1,2,2,14,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,4,1,5,1,1,1,1,2,0,1,1 4 13,2,U,U,1,U,U,U,U,U,U,U,U,3,U,3 7 9 10,30,U,25,40,3,3,1,1,1,12 13,0,1 3 9,2,U,1,U,U,U,U,U,3,U,U,U,U,U,U,U,U,20,0,0,0,0,0,0,0,0,0,0,0
17,1,19912c08861,788744408,2,0,0,12,2,37,6,4,1,2,2,0,0,2,1,9,1,1,1,2,2,12,1,1,1,2,2,15,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 4 13,1,4,U,2,U,U,U,U,U,U,U,U,3,U,3 7 9 11,30,U,40,10,7,1,1,4 5 6 8,1,12 14 15 16,0,1 2 3 9,3,1,U,U,U,U,U,U,2,U,U,U,U,U,U,U,U,20,0,0,0,0,0,0,0,0,0,0,0
19,1,19912c07228,798974106,2,0,0,9,1,36,4,2,2,1.4,2,0,0,2,2,7,1,1,2,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,1,3,1,5,1,1,1,1,2,0,1,1 2,1,2,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,3,2,0,1,2,0,1 2 3 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
20,1,19912c08712,799305370,1,0,0,9,1,39,5,3,1,1.4,2,0,0,2,2,3,2,0,0,2,2,8,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 13,1,3,U,U,U,U,U,U,U,U,U,U,2,U,3 7 10 11,15,U,8,30,11,2,1,5 6,1,14 15,0,1 2 3 9 15,U,1,3,U,U,U,U,U,U,U,U,U,U,U,2,U,U,99,0,0,0,0,0,0,0,0,0,0,0
21,1,19912c07225,799793470,2,0,0,9,2,24,4,2,1,4,2,0,0,2,1,6,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,U,U,U,U,0,0,0,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,2,2,0,0,0,0,0,0,0,0,0
22,1,19912c04156,798522187,1,0,0,9,1,34,6,4,1,3,2,0,0,2,1,4,2,0,0,2,1,6,1,1,1,2,1,7,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2 5,1,4,1,2,1,1,2,1,2,0,2,1 2 3 4 10 13,1,4,5,2,U,U,U,U,U,U,U,U,3,U,4 5 6 7 9 11,U,25,30,25,7,1,1,1,1,13,0,1 2 3 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9,0,0,0,0,0,0,0,0,0,0,0
23,1,19912c08798,786416054,1,0,0,10,1,48,7,4,1,9,1,1,1,2,2,12,1,1,1,2,1,14,1,1,1,2,1,16,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,6,1,3 5,1,1,1,1,2,0,1,1 2 3 4 5 13,1,4,5,2,3,U,U,U,U,U,U,U,U,U,3 6 9 10,20,20,80,25,9,1,1,1 2,1,13 18,0,1 2 3,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 15 16,0,0,0,0,0,0,0,0,0,0,0
24,1,16513c14985,790646038,1,0,0,3,1,43,8,6,1,5,2,0,0,2,2,6,1,1,1,2,1,9,1,1,1,2,1,12,1,1,1,2,1,13,1,1,1,2,1,14,1,2,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 4 13,1,2,U,4,U,U,U,U,U,U,U,U,3,U,3 9 10,40,U,30,20,3,2,1,1 3 4,1,2 13 16,0,1 3 9,3,U,1,U,U,U,U,U,2,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
25,1,19912c10683,788537552,2,0,1,12,2,31,3,2,2,4,2,0,0,2,1,10,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,1,1,5,1,5,1,1,1,1,2,0,1,1 2 3 4 5 13,1,4,5,2,U,U,U,U,U,U,U,U,3,U,3 6 9 10 11,10,5,25,25,9,2,1,1 6,2,0,2,1 2 3 15 16,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
26,1,19912c10697,788198006,2,0,0,12,2,27,5,3,1,2,2,0,0,2,2,3,2,0,0,2,1,5,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 5,1,5,1,5,1,1,2,1,2,0,1,1 2 4,1,3,U,2,U,U,U,U,U,U,U,U,U,U,4 5 6 7 9 10,U,30,20,20,5,2,1,2,1,18,0,1 2 3,1,3,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 15,0,0,0,0,0,0,0,0,0,0,0
27,1,19912c08781,798792376,2,0,0,4,2,58,5,1,1,16,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,1,0,0,2,2,0,6,1 2,1,4,1,5,1,1,2,1,1,3,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,4,2,0,2,0,1 2,1 2 3 9 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
28,1,19912c08780,795113485,2,0,0,10,1,61,2,1,2,13,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,5,1,5,1,1,2,1,2,0,1,1 2,1,2,U,U,U,U,U,U,U,U,U,U,U,U,3 6 9,10,5,10,U,9,2,1,8,2,0,2,1 2 3 9 15 16,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
29,1,19912c02945,785862865,3,0,0,7,1,51,6,2,2,10,1,1,1,2,1,16,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,8 9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,5,1,5,1,1,1,1,2,0,1,1 2,1,2,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,2,2,0,2,0,1 2,1 2 3 5 12,2,1,U,U,U,U,U,U,U,U,U,3,U,U,U,U,U,4 6 9,0,0,0,0,0,0,0,0,0,0,0
30,1,16513c12004,790294022,1,0,0,2,1,35,7,5,2,2,2,0,0,2,2,4,2,0,0,2,2,7,1,1,1,2,2,10,1,1,1,2,2,12,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,4,1,5,1,1,1,1,2,0,1,1 2 3 4 5 13,1,U,5,2,3,U,U,U,U,U,U,U,4,U,3 5 6 7 9 10 11,30,20,40,20,9,1,1,4,1,12 13,0,1 2 3 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 16,0,0,0,0,0,0,0,0,0,0,0
